A,B,label,scoreA,scoreB
00100,00050,1,352.0,616.0
00150,00050,0,396.0,616.0
00200,00050,1,528.0,616.0
00050,00250,1,616.0,900.0
00050,00300,0,616.0,1332.0
00050,00400,1,616.0,756.0
00050,00450,1,616.0,660.0
00050,00500,0,616.0,660.0
00050,00600,1,616.0,660.0
00100,00200,0,352.0,528.0
00100,00250,0,352.0,900.0
00100,00300,1,352.0,1332.0
00100,00350,0,352.0,756.0
00100,00400,1,352.0,756.0
00100,00450,1,352.0,660.0
00100,00550,1,352.0,616.0
00100,00600,0,352.0,660.0
00150,00250,1,396.0,900.0
00150,00300,1,396.0,1332.0
00150,00350,0,396.0,756.0
00150,00400,1,396.0,756.0
00150,00500,1,396.0,660.0
00150,00550,1,396.0,616.0
00150,00600,1,396.0,660.0
00200,00250,0,528.0,900.0
00200,00300,1,528.0,1332.0
00200,00400,1,528.0,756.0
00200,00450,1,528.0,660.0
00200,00500,1,528.0,660.0
00350,00250,1,756.0,900.0
00400,00250,0,756.0,900.0
00450,00250,1,660.0,900.0
00550,00250,0,616.0,900.0
00600,00250,1,660.0,900.0
00400,00300,0,756.0,1332.0
00450,00300,1,660.0,1332.0
00500,00300,0,660.0,1332.0
00550,00300,1,616.0,1332.0
00600,00300,0,660.0,1332.0
00350,00400,1,756.0,756.0
00450,00350,0,660.0,756.0
00500,00350,1,660.0,756.0
00550,00350,1,616.0,756.0
00600,00350,0,660.0,756.0
00400,00350,1,756.0,756.0
00500,00400,1,660.0,756.0
00600,00400,1,660.0,756.0
00450,00500,0,660.0,660.0
00450,00600,0,660.0,660.0
00500,00450,1,660.0,660.0
00500,00600,0,660.0,660.0
00550,00050,1,616.0,616.0
00600,00450,0,660.0,660.0
00600,00500,1,660.0,660.0
