A,B,label,scoreA,scoreB
03100,03150,1,0.0,27.0
03100,03200,0,0.0,29.0
03100,03250,1,0.0,30.0
03100,03300,0,0.0,26.0
03100,03350,1,0.0,13.0
03100,03400,0,0.0,29.0
03100,03450,0,0.0,63.0
03100,03500,1,0.0,66.0
03100,03550,1,0.0,63.0
03100,03650,0,0.0,47.0
03150,03200,1,27.0,29.0
03350,03150,0,13.0,27.0
03150,03450,1,27.0,63.0
03150,03500,0,27.0,66.0
03150,03550,1,27.0,63.0
03150,03600,1,27.0,84.0
03200,03250,0,29.0,30.0
03300,03200,0,26.0,29.0
03350,03200,0,13.0,29.0
03200,03400,1,29.0,29.0
03200,03450,1,29.0,63.0
03200,03500,1,29.0,66.0
03200,03550,0,29.0,63.0
03200,03600,1,29.0,84.0
03200,03650,1,29.0,47.0
03300,03250,0,26.0,30.0
03400,03250,0,29.0,30.0
03250,03450,1,30.0,63.0
03250,03500,1,30.0,66.0
03250,03550,1,30.0,63.0
03250,03600,1,30.0,84.0
03250,03650,0,30.0,47.0
03350,03300,1,13.0,26.0
03300,03400,0,26.0,29.0
03300,03450,0,26.0,63.0
03300,03500,0,26.0,66.0
03300,03550,0,26.0,63.0
03300,03650,0,26.0,47.0
03350,03500,1,13.0,66.0
03350,03550,1,13.0,63.0
03350,03600,1,13.0,84.0
03350,03650,0,13.0,47.0
03400,03200,1,29.0,29.0
03400,03450,1,29.0,63.0
03400,03500,1,29.0,66.0
03400,03550,0,29.0,63.0
03400,03600,0,29.0,84.0
03400,03650,0,29.0,47.0
03450,03500,1,63.0,66.0
03450,03550,0,63.0,63.0
03450,03600,1,63.0,84.0
03550,03500,1,63.0,66.0
03500,03600,1,66.0,84.0
03650,03500,1,47.0,66.0
03550,03450,1,63.0,63.0
03550,03600,1,63.0,84.0
03650,03550,1,47.0,63.0
03650,03600,1,47.0,84.0
