A,B,label,scoreA,scoreB
00100,00050,1,2990.0,3065.0
00150,00050,1,2915.0,3065.0
00050,00200,1,3065.0,7430.0
00050,00250,1,3065.0,7140.0
00050,00300,1,3065.0,6770.0
00050,00350,1,3065.0,7480.0
00050,00400,1,3065.0,7290.0
00050,00450,1,3065.0,7420.0
00050,00500,0,3065.0,7665.0
00050,00550,1,3065.0,7505.0
00050,00600,1,3065.0,13235.0
00100,00250,1,2990.0,7140.0
00100,00300,1,2990.0,6770.0
00100,00350,1,2990.0,7480.0
00100,00400,1,2990.0,7290.0
00100,00450,0,2990.0,7420.0
00100,00550,1,2990.0,7505.0
00100,00600,1,2990.0,13235.0
00150,00200,1,2915.0,7430.0
00150,00250,1,2915.0,7140.0
00150,00300,0,2915.0,6770.0
00150,00350,1,2915.0,7480.0
00150,00400,1,2915.0,7290.0
00150,00450,1,2915.0,7420.0
00150,00500,1,2915.0,7665.0
00150,00550,1,2915.0,7505.0
00150,00600,1,2915.0,13235.0
00250,00200,0,7140.0,7430.0
00400,00200,1,7290.0,7430.0
00450,00200,1,7420.0,7430.0
00200,00600,1,7430.0,13235.0
00300,00250,1,6770.0,7140.0
00250,00350,1,7140.0,7480.0
00250,00400,1,7140.0,7290.0
00250,00450,0,7140.0,7420.0
00250,00500,0,7140.0,7665.0
00250,00550,1,7140.0,7505.0
00250,00600,1,7140.0,13235.0
00300,00350,1,6770.0,7480.0
00300,00400,1,6770.0,7290.0
00300,00450,0,6770.0,7420.0
00300,00500,0,6770.0,7665.0
00300,00550,1,6770.0,7505.0
00300,00600,1,6770.0,13235.0
00400,00350,1,7290.0,7480.0
00350,00500,0,7480.0,7665.0
00350,00550,0,7480.0,7505.0
00350,00600,1,7480.0,13235.0
00400,00450,1,7290.0,7420.0
00400,00500,0,7290.0,7665.0
00400,00550,1,7290.0,7505.0
00400,00600,1,7290.0,13235.0
00450,00500,0,7420.0,7665.0
00450,00550,1,7420.0,7505.0
00450,00600,1,7420.0,13235.0
00550,00500,0,7505.0,7665.0
00500,00600,1,7665.0,13235.0
00550,00600,1,7505.0,13235.0
