A,B,label,scoreA,scoreB
00050,00150,1,-21.0,-20.0
00050,00200,1,-21.0,-20.0
00050,00250,1,-21.0,-18.0
00050,00300,1,-21.0,-20.0
00050,00350,1,-21.0,-14.0
00050,00400,1,-21.0,-14.0
00050,00450,1,-21.0,-15.0
00050,00500,1,-21.0,-12.0
00050,00550,1,-21.0,-7.0
00050,00600,1,-21.0,-6.0
00100,00150,1,-21.0,-20.0
00100,00200,0,-21.0,-20.0
00100,00250,1,-21.0,-18.0
00100,00300,1,-21.0,-20.0
00100,00350,1,-21.0,-14.0
00100,00400,1,-21.0,-14.0
00100,00500,1,-21.0,-12.0
00100,00550,1,-21.0,-7.0
00100,00600,1,-21.0,-6.0
00150,00400,1,-20.0,-14.0
00150,00450,1,-20.0,-15.0
00150,00500,1,-20.0,-12.0
00150,00550,1,-20.0,-7.0
00150,00600,1,-20.0,-6.0
00200,00150,1,-20.0,-20.0
00200,00300,1,-20.0,-20.0
00200,00350,1,-20.0,-14.0
00200,00400,1,-20.0,-14.0
00200,00450,1,-20.0,-15.0
00200,00550,1,-20.0,-7.0
00200,00600,1,-20.0,-6.0
00250,00350,1,-18.0,-14.0
00250,00400,1,-18.0,-14.0
00250,00450,1,-18.0,-15.0
00250,00500,1,-18.0,-12.0
00250,00550,1,-18.0,-7.0
00250,00600,1,-18.0,-6.0
00300,00150,0,-20.0,-20.0
00300,00200,0,-20.0,-20.0
00300,00350,1,-20.0,-14.0
00300,00400,1,-20.0,-14.0
00300,00500,0,-20.0,-12.0
00300,00550,1,-20.0,-7.0
00300,00600,0,-20.0,-6.0
00350,00400,1,-14.0,-14.0
00450,00350,0,-15.0,-14.0
00350,00500,0,-14.0,-12.0
00350,00600,0,-14.0,-6.0
00400,00350,0,-14.0,-14.0
00450,00400,0,-15.0,-14.0
00400,00600,0,-14.0,-6.0
00450,00500,1,-15.0,-12.0
00450,00600,1,-15.0,-6.0
00500,00600,1,-12.0,-6.0
