A,B,label,scoreA,scoreB
00050,00250,1,375.0,725.0
00050,00300,1,375.0,625.0
00050,00350,1,375.0,400.0
00050,00400,1,375.0,750.0
00050,00450,1,375.0,800.0
00050,00500,1,375.0,800.0
00050,00550,1,375.0,500.0
00050,00600,1,375.0,775.0
00100,00150,1,425.0,625.0
00100,00200,1,425.0,725.0
00100,00250,1,425.0,725.0
00350,00100,0,400.0,425.0
00100,00400,1,425.0,750.0
00100,00450,1,425.0,800.0
00100,00500,1,425.0,800.0
00100,00550,1,425.0,500.0
00100,00600,1,425.0,775.0
00150,00200,1,625.0,725.0
00150,00250,1,625.0,725.0
00150,00300,0,625.0,625.0
00350,00150,0,400.0,625.0
00150,00400,1,625.0,750.0
00150,00450,0,625.0,800.0
00150,00500,1,625.0,800.0
00550,00150,0,500.0,625.0
00150,00600,1,625.0,775.0
00200,00250,0,725.0,725.0
00300,00200,0,625.0,725.0
00200,00400,1,725.0,750.0
00200,00450,1,725.0,800.0
00200,00500,1,725.0,800.0
00550,00200,0,500.0,725.0
00200,00600,1,725.0,775.0
00250,00200,0,725.0,725.0
00300,00250,1,625.0,725.0
00250,00400,1,725.0,750.0
00250,00450,1,725.0,800.0
00250,00500,1,725.0,800.0
00550,00250,0,500.0,725.0
00250,00600,1,725.0,775.0
00350,00300,0,400.0,625.0
00300,00400,1,625.0,750.0
00300,00500,1,625.0,800.0
00550,00300,0,500.0,625.0
00300,00600,1,625.0,775.0
00350,00400,1,400.0,750.0
00350,00500,1,400.0,800.0
00350,00550,0,400.0,500.0
00400,00450,1,750.0,800.0
00400,00500,1,750.0,800.0
00550,00400,1,500.0,750.0
00400,00600,1,750.0,775.0
00550,00450,1,500.0,800.0
00600,00450,1,775.0,800.0
00500,00450,0,800.0,800.0
00550,00500,1,500.0,800.0
00600,00500,1,775.0,800.0
00550,00600,1,500.0,775.0
