A,B,label,scoreA,scoreB
00020,00055,1,400.0,520.0
00035,00055,1,420.0,520.0
00010,00030,0,220.0,320.0
00050,00055,0,380.0,520.0
00020,00035,0,400.0,420.0
00060,00050,1,220.0,380.0
00060,00025,1,220.0,420.0
00060,00020,1,220.0,400.0
00050,00035,1,380.0,420.0
00035,00065,0,420.0,420.0
00010,00050,1,220.0,380.0
00010,00020,1,220.0,400.0
00015,00020,1,80.0,400.0
00010,00035,1,220.0,420.0
00040,00055,0,480.0,520.0
00050,00020,0,380.0,400.0
00015,00010,1,80.0,220.0
00010,00045,1,220.0,600.0
00010,00065,1,220.0,420.0
00010,00055,1,220.0,520.0
00030,00025,1,320.0,420.0
00050,00045,1,380.0,600.0
00010,00025,1,220.0,420.0
00060,00045,1,220.0,600.0
00030,00035,1,320.0,420.0
00065,00045,0,420.0,600.0
00025,00035,1,420.0,420.0
00060,00040,1,220.0,480.0
00015,00065,1,80.0,420.0
00060,00065,1,220.0,420.0
00065,00040,0,420.0,480.0
00025,00040,0,420.0,480.0
00025,00055,1,420.0,520.0
00015,00060,1,80.0,220.0
00055,00045,1,520.0,600.0
00030,00045,1,320.0,600.0
00060,00055,1,220.0,520.0
00015,00050,1,80.0,380.0
00065,00025,0,420.0,420.0
00030,00020,1,320.0,400.0
00050,00040,1,380.0,480.0
00015,00025,1,80.0,420.0
00030,00040,1,320.0,480.0
00015,00055,1,80.0,520.0
00015,00035,1,80.0,420.0
00015,00030,1,80.0,320.0
00035,00025,0,420.0,420.0
00020,00025,1,400.0,420.0
00060,00035,1,220.0,420.0
00015,00045,1,80.0,600.0
00030,00055,1,320.0,520.0
00030,00050,1,320.0,380.0
00020,00065,1,400.0,420.0
00030,00065,1,320.0,420.0
00065,00035,1,420.0,420.0
00010,00060,1,220.0,220.0
