A,B,label,scoreA,scoreB
00100,00050,1,150.0,160.0
00050,00150,1,160.0,245.0
00050,00200,1,160.0,290.0
00050,00250,1,160.0,340.0
00300,00050,0,150.0,160.0
00050,00350,1,160.0,370.0
00050,00400,1,160.0,415.0
00050,00450,1,160.0,315.0
00050,00500,1,160.0,445.0
00050,00550,1,160.0,515.0
00050,00600,1,160.0,600.0
00100,00150,1,150.0,245.0
00100,00250,1,150.0,340.0
00100,00300,0,150.0,150.0
00100,00350,1,150.0,370.0
00100,00400,1,150.0,415.0
00100,00500,1,150.0,445.0
00100,00550,1,150.0,515.0
00100,00600,1,150.0,600.0
00150,00200,1,245.0,290.0
00150,00250,1,245.0,340.0
00300,00150,0,150.0,245.0
00150,00350,1,245.0,370.0
00150,00400,1,245.0,415.0
00150,00450,1,245.0,315.0
00150,00550,1,245.0,515.0
00150,00600,1,245.0,600.0
00200,00250,1,290.0,340.0
00200,00350,1,290.0,370.0
00200,00400,1,290.0,415.0
00200,00450,1,290.0,315.0
00200,00500,1,290.0,445.0
00200,00550,1,290.0,515.0
00200,00600,1,290.0,600.0
00300,00250,0,150.0,340.0
00250,00350,1,340.0,370.0
00250,00400,0,340.0,415.0
00450,00250,0,315.0,340.0
00250,00500,1,340.0,445.0
00250,00550,1,340.0,515.0
00250,00600,1,340.0,600.0
00300,00100,0,150.0,150.0
00300,00350,1,150.0,370.0
00300,00400,1,150.0,415.0
00300,00500,1,150.0,445.0
00300,00600,1,150.0,600.0
00350,00400,0,370.0,415.0
00450,00350,1,315.0,370.0
00350,00500,1,370.0,445.0
00350,00550,1,370.0,515.0
00350,00600,1,370.0,600.0
00450,00400,0,315.0,415.0
00400,00500,1,415.0,445.0
00400,00550,1,415.0,515.0
00400,00600,1,415.0,600.0
00450,00500,1,315.0,445.0
00450,00600,1,315.0,600.0
00500,00600,1,445.0,600.0
00550,00600,1,515.0,600.0
